Topic,Count,Name,Representation,Representative_Docs
59,17,59_river_bridges_passage_rivers,"['river', 'bridges', 'passage', 'rivers', 'enemy', 'rules', 'pass', 'retreats', 'taking', 'stream']","['exceedingly delicate character essential thing keep bridges safe effecting passage general throw mass forces toward right left view taking possession decisive point driving enemy back upon river whilst latter collecting forces', 'engagement immediately upon passage river wings must retired rested river cover bridges also defensive battle fought river rear passed defile covered leipsic finally may become natural formation resist enemy forming concave line', 'concentrated general means taking passage front perpendicular river would better pass upon one extremities order throw enemy bridges referred upon passage rivers']"
60,17,60_morass_hill_ascent_narrow,"['morass', 'hill', 'ascent', 'narrow', 'ground', 'enclosed', 'circuit', 'brook', 'river', 'depth']","['xviiithe nature ground men chosen camp hill declining evenly top extended river sambre mentioned river arose second hill like ascent side opposite former open paces lowest part', 'divided enemys deep morass difficult cross could pursue expedition hill beyond morass extended almost enemys camp separated small valley laid bridge morass led army across soon reached plain top hill', 'ascent straight line gap intervened whatever circuit added ascent make hill easy increased length route almost middle hill gauls previously built wall six feet high made large stones extending length far nature ground permitted']"
61,16,61_diversions_detachments_operations_zone,"['diversions', 'detachments', 'operations', 'zone', 'large', 'corps', 'detached', 'main', 'kinds', 'campaign']","['already stated besides diversions distance small bodies large corps often detached zone operations main army', 'diversions great detachments', 'several kinds detachments large corps dispatched distance zone operations main army order make diversions greater less importance']"
62,16,62_chariots_chariot_charioteers_swift,"['chariots', 'chariot', 'charioteers', 'swift', 'olympic', 'overpowered', 'games', 'fighting', 'ibid', 'mode']","['infantry cavalry chariots elephants curtius says infantry chariots elephants krgers reading instead', 'therefore chariot fighting ten chariots taken rewarded took first flags substituted enemy chariots mingled used conjunction captured soldiers', 'sun tz said operations war field thousand swift chariots many heavy chariots hundred thousand mailclad soldiers']"
63,15,63_heracles_hercules_dionysus_perseus,"['heracles', 'hercules', 'dionysus', 'perseus', 'tyre', 'penetrated', 'ammon', 'temple', 'tyrians', 'zeus']","['phoenician god melkarth lord city syrians called baal lord supposed identical grecian heracles hercules mythical ancestor macedonian kings curtius tells us alexander affirmed ordered oracle sacrifice tyre heracles', 'reason demand tyre existed temple heracles ancient mentioned history dedicated argive heracles son alcmena heracles honoured tyre many generations cadmus set phoenicia occupied thebes', 'heracles son alexander heracles hercules']"
64,15,64_hydaspes_voyage_acesines_fordable,"['hydaspes', 'voyage', 'acesines', 'fordable', 'hyphsis', 'hypaspists', 'hliopolis', 'hgsistrtus', 'hyperdes', 'hydarnes']","['voyage hydaspes continued', 'voyage hydaspes acesines', 'voyage hydaspes voyage hydaspes continued']"
65,15,65_napoleon_line_lines_operations,"['napoleon', 'line', 'lines', 'operations', 'strategic', 'mont', 'wavre', 'jean', 'melas', 'saintbernard']","['napoleon choose line operations right leading seashore toward nice savona center leading montcenis toward turin left leading line communications melas way saintbernard simplon first two directions nothing favor', 'would take reverse front operations expose line retreat cut supporting army well base force upon main campaign first objective point napoleon fall upon right melas saintbernard seize line communications hence', 'near mont st jean audaciously took last triumphed application interior strategic lineswhich napoleon perhaps first time life neglected readily seen line followed gembloux wavre mont st jean neither line operations prussian army line battle']"
66,14,66_children_women_daughter_mother,"['children', 'women', 'daughter', 'mother', 'young', 'merest', 'kindhearted', 'beget', 'aggrieved', 'levity']","['however indulgent unable make authority felt kindhearted unable enforce commands incapable moreover quelling disorder soldiers must likened spoilt children useless practical purpose', 'haughty mandate carried determination triumphant issue notwithstanding life stake one time saved shifting place concealment every night young lady afterwards became mother daughter mother daughter remarkable perished prematurely critical', 'representative even ladies paramount situations command also women staff authority annihilate sex scruples female delicacy interfere ever unnerve emasculate hands sceptre however otherwise potent hence see noble families merest boys put forward']"
67,14,67_towers_redoubts_tetes_banks,"['towers', 'redoubts', 'tetes', 'banks', 'bridge', 'bank', 'pont', 'de', 'cover', 'camp']","['regular tetes de font least lines redoubts cover rearguard natural also enemy pursuing use every effort destroy bridges retreat made bank river wooden houses may thrown stream also fireships millsa means austrians used', 'fortress depots may safe may cover front camp nearest line retreat general terms camp river large tete de pont side command banks near large fortified city', 'towers isolated intervals carefully covered fieldworks thrown required make camp preferable one covered ordinary redoubts advantageous afforded large detached forts coblentz towers number thirtytwo eight left bank square fort']"
68,13,68_bath_fever_night_day,"['bath', 'fever', 'night', 'day', 'medius', 'sacrifices', 'sleep', 'took', 'tester', 'slept']","['royal diary gives following account effect revelled drank dwelling medius rose took bath slept supped house medius drank till far night retiring drinking party took bath took little food slept', 'suffer fever notwithstanding summoned officers gave instructions things ready starting fleet evening took bath ill next day transferred house near swimmingbath offered prescribed sacrifices though', 'bed fever raged whole night without intermission next day took bath offered sacrifice gave orders nearchus officers voyage begin third day next day bathed offered prescribed sacrifices performing sacred rites yet cease']"
69,13,69_gaul_caesar_confederacy_massacre,"['gaul', 'caesar', 'confederacy', 'massacre', 'people', 'conetodunus', 'furnish', 'join', 'ibid', 'belgians']","['country called beauvais france furnish hundred thousand men general confederacy belgium g join general defection vercingetorix g take arms caesar compelled submit sue pardon', 'word different name ambiani join confederacy veneti caesar g ambiani ambianenses people amiens furnish ten thousand men general confederacy belgians caesar', 'aedui autunois people gaul near autun country called lower burgundy complain caesar ravages committed territories helvetii g join petition ariovistus ibid head one two leading factions gaul g caesar quiets intestine']"
70,13,70____,"['', '', '', '', '', '', '', '', '', '']","['', '', '']"
71,12,71_wars_intestine_religion_dogmas,"['wars', 'intestine', 'religion', 'dogmas', 'religious', 'political', 'civil', 'dogma', 'intervention', 'islamism']","['wars islamism crusades thirty years war wars league present nearly characteristics often religion pretext obtain political power war really one dogmas successors mohammed cared extend empire preach koran philip bigot', 'civil wars wars religion', 'although wars opinion national wars civil wars sometimes confounded differ enough require separate notice wars opinion may intestine intestine foreign lastly however rare may foreign exterior']"
72,12,72_anabasis_alexander_lxix_dio,"['anabasis', 'alexander', 'lxix', 'dio', 'nysa', 'phrygia', 'cassius', 'ipsius', 'charidmus', 'vita']","['anabasis alexander', 'cf lucian alexander see dio cassius lxix see anabasis', 'see dio cassius lxix cf josephus vita ipsius']"
73,12,73_fig_illustration_ttttttttttttttttttttttttttttttttttttttttttttttttttttt_tttttttttttttttttttttttttttttttttttttttt,"['fig', 'illustration', 'ttttttttttttttttttttttttttttttttttttttttttttttttttttt', 'tttttttttttttttttttttttttttttttttttttttt', 'answers', 'corps', 'salient', 'convex', 'result', 'illustrations']","['result operations illustration fig', 'illustration fig c', 'illustration fig']"
74,12,74_alliance_refusing_join_us,"['alliance', 'refusing', 'join', 'us', 'corcyra', 'circumstances', 'policy', 'fair', 'adjournment', 'halfandhalf']","['prevent becoming united common enmity us hands also ensure getting start one two ways either crippling power making strength policy beforehand herthat corcyra make offer alliance accept fact ought', 'war halfandhalf affair war often nothing armed neutrality menacing attitude support negotiations attempt gain small advantage small exertions wait tide circumstances disagreeable treaty obligation fulfilled niggardly way possible', 'taking sides neither allies either safe fair us practically fair pretends vanquished defeated victor conquer refusing join effect abstention leave former perish unaided allow latter offend']"
75,12,75_city_ambuscades_motion_wallsyou,"['city', 'ambuscades', 'motion', 'wallsyou', 'butcher', 'noses', 'dishearten', 'devastations', 'environs', 'hellenes']","['noses chi prisoners place front rank fight us would undoing city side informed speech acted suggestion within city enraged seeing fellowcountrymen thus mutilated fearing lest', 'coming stratians becoming aware things stood thinking defeat division would considerably dishearten hellenes behind occupied environs town ambuscades soon approached engaged close quarters city ambuscades panic seizing chaonians great numbers', 'prompted quite much fear us events never appeared till nothing left lose left behind us city city longer staked lives city existence desperate hope bore full share deliverance copied']"
76,12,76_arms_clemency_mercy_punishment,"['arms', 'clemency', 'mercy', 'punishment', 'used', 'violence', 'everyday', 'anguish', 'alleviate', 'prescriptive']","['piratical habits whole hellas used carry arms habitations unprotected communication unsafe indeed wear arms much part everyday life barbarians fact people parts hellas still living old way points time', 'apprehended master rescued crowd fellow soldiers involved guilt repelled hazard lives every violence offered body prescriptive privilege alexandrian army used demand kings favourites put death pillage', 'outstretched arms prostrating ground tears implored mercy comforted bade rise spoken words clemency alleviate fears pardoned gave orders soldiers injury done nothing taken used']"
77,12,77_siege_halicarnassus_massaga_miletus,"['siege', 'halicarnassus', 'massaga', 'miletus', 'halicarnassusabortive', 'myndus', 'hegesistratus', 'halicarnassusada', 'stadium', 'guraeans']","['siege halicarnassus siege halicarnassus destruction halicarnassusada queen caria', 'siege halicarnassus', 'siege capture miletus siege halicarnassusabortive attack myndus']"
78,11,78_romans_scarce_withstand_suevi,"['romans', 'scarce', 'withstand', 'suevi', 'forage', 'roman', 'orders', 'breakfast', 'infested', 'xxixvercingetorix']","['provisions might brought engagement disadvantageous terms orders send numerous scouts among suevi learn things going among execute orders days intervened report suevi certain intelligence concerning army romans come retreated', 'began beseech countrymen gallic fashion show dishevelled hair bring children public view neither position numbers contest equal one romans time exhausted running long continuation fight could easily withstand fresh', 'forbidden caesars orders lest advanced far forage corn become scarce enemy warned fires make escape many thousands taken many bituriges able escape first coming romans fled neighbouring states relying either private friendship public']"
79,11,79_footnote_footnotes_deficit_refer,"['footnote', 'footnotes', 'deficit', 'refer', 'treated', 'every', 'diversionsto', 'itranslators', 'mayas', 'grand']","['footnote refer general instructions forms repeated every day repetition would impracticable footnote chiefs artillery engineers administrative departments claim direct connection', 'footnotes footnote account two battles see chapters treatise grand military operations', 'footnotes footnote refer intrenched camps make great difference treated']"
80,11,80_spitamenes_sogdiana_sogdianians_scythians,"['spitamenes', 'sogdiana', 'sogdianians', 'scythians', 'sogdianarevolt', 'fled', 'strongholds', 'subjugation', 'horsemen', 'bactriana']","['strongholds capturing others surrendered terms capitulation forces reached maracanda traversing greater part land sogdianians sent hephaestion away plant colonies cities sogdiana also sent coenus artabazus scythia informed spitamenes', 'drawing near raised siege citadel retired capital sogdiana pharnuches generals eager drive altogether followed retreating towards frontiers sogdiana without due consideration made joint attack upon nomad scythians spitamenes received', 'better able fight way coming bagae fortified place sogdiana situated confines countries sogdianians massagetian scythians easily persuaded scythian horsemen join invasion sogdiana easy matter induce scythians engage one war another']"
81,11,81_llllllllllllll_lllllllllllll_cbl_ch,"['llllllllllllll', 'lllllllllllll', 'cbl', 'ch', 'cush', 'connected', 'see', 'one', '', '']","['ch see', 'cush cbl', 'f lllllllllllll g llllllllllllll b']"
